State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
Andhra Pradesh,"Santhiram Med Coll, Nandyal",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?4,96,800*","?30,000*",1*,"?40,00,000*",930
Andhra Pradesh,"PES IMS, Kuppam",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?4,96,800*","?30,000*",1*,"?40,00,000*",975
Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",707
Andhra Pradesh,"SV Med Coll, Tirupati",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",1150
Andhra Pradesh,"SVIMS, Tirupati",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?2,11,600*","?80,904*",1*,"?40,00,000*",1257
Andhra Pradesh,"ACSR Medical College, Nellore",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",355
Andhra Pradesh,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",500
Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",ANAESTHESIOLOGY,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",715
Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv LOC (OU),"?48,600*","?60,823",1*,"?40,00,000*",707
Andhra Pradesh,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",750
Andhra Pradesh,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1430
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1200
Andhra Pradesh,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",850
Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*",Info not available*,1*,"?40,00,000*",Info Not Available
Andhra Pradesh,"VMC, Kurnool",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",650
Andhra Pradesh,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?40,000*",1*,"?40,00,000*",980
Andhra Pradesh,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*",Info not available*,1*,"?40,00,000*",780
Andhra Pradesh,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",840
Andhra Pradesh,"Santhiram Med Coll, Nandyal",ANAESTHESIOLOGY,AP Govt-NS APUR,"?4,96,800*","?30,000*",1*,"?40,00,000*",930
