State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",MICROBIOLOGY,CG MBBS or Ins,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",MICROBIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",MICROBIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",MICROBIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,CG Domicile,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,CG Domicile,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",MICROBIOLOGY,CG Domicile,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",MICROBIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",MICROBIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",MICROBIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,Other State,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,Other State,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",MICROBIOLOGY,Other State,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,CG MBBS or Ins-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,CG Domicile-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",MICROBIOLOGY,CG Other State-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",MICROBIOLOGY,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",PAEDIATRICS,CG MBBS or Ins,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",PAEDIATRICS,CG MBBS or Ins,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",PAEDIATRICS,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",PAEDIATRICS,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",PAEDIATRICS,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",PAEDIATRICS,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",PAEDIATRICS,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",PAEDIATRICS,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Raipur IMS, Raipur",PAEDIATRICS,CG Domicile,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",PAEDIATRICS,CG Domicile,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",PAEDIATRICS,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",PAEDIATRICS,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"CIMS, Bilaspur",PAEDIATRICS,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Raipur IMS, Raipur",PAEDIATRICS,Other State,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",PAEDIATRICS,Other State,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
