Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
2,AIQ,GEN-PwD,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,0+1(VV),"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,95115(1),99376(1),111677(1),-,-,108397(1),108397(1),108397(1),-,-
3,AIQ,GEN-PwD,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,0+1(VV),"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,95115(1),99376(1),111677(1),-,-,108397(1),108397(1),108397(1),-,-
1,AIQ,OBC,Rajasthan,"SP Med Coll, Bikaner",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,95453(1),-,121839(1),152347(1),164304(1),78811(1),76956(1),108404(1),-,-
2,AIQ,OBC,Rajasthan,"SP Med Coll, Bikaner",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,95453(1),-,121839(1),152347(1),164304(1),78811(1),76956(1),108404(1),-,-
3,AIQ,OBC,Rajasthan,"SP Med Coll, Bikaner",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,95453(1),-,121839(1),152347(1),164304(1),78811(1),76956(1),108404(1),-,-
1,MNG,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",PHARMACOLOGY,4,"₹3,00,000*","₹50,923",0,₹0,1590,102166(3),102166(4),102166(4),-,-,105092(4),108435(4),108435(4),-,-
2,MNG,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",PHARMACOLOGY,0+1(VV),"₹3,00,000*","₹50,923",0,₹0,1590,102166(3),102166(4),102166(4),-,-,105092(4),108435(4),108435(4),-,-
3,MNG,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",PHARMACOLOGY,0+1(VV),"₹3,00,000*","₹50,923",0,₹0,1590,102166(3),102166(4),102166(4),-,-,105092(4),108435(4),108435(4),-,-
1,AIQ,SC,Telangana,"Govt Med Coll, Nalgonda",FORENSIC MEDICINE,1,"₹25,000*","₹58,289",1,"₹20,00,000",580,-,-,-,-,-,93664(1),85178(1),108512(1),128943(1),-
2,AIQ,SC,Telangana,"Govt Med Coll, Nalgonda",FORENSIC MEDICINE,1,"₹25,000*","₹58,289",1,"₹20,00,000",580,-,-,-,-,-,93664(1),85178(1),108512(1),128943(1),-
