Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,682303,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,682352,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,682435,Tamil Nadu,"Bhaarat Med Coll, Chennai",MBBS,DEEMED PS,Open,2750000,500,0,0,Info not available
3,682449,Maharashtra,"BV Dental Coll, Sangli",BDS,DEEMED PS,Open,414750,280,0,0,Info not available
3,682474,Telangana,"MallaReddy DentalColl Women,HYD",BDS,DEEMED PS,Open,375000,Info Not Available,0,0,Info not available
3,682526,Tamil Nadu,"Bhaarat Med Coll, Chennai",MBBS,DEEMED PS,Open,2750000,500,0,0,Info not available
3,682603,Haryana,"Manav Rachna Dental, Faridabad",BDS,DEEMED PS,Open,415000,Info Not Available,0,0,Info not available
3,682610,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,682641,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,682812,Telangana,"Malla Reddy(Women), Hyderabad",MBBS,DEEMED NRI,Open,3612000,1050,0,0,Info not available
3,682813,Gujarat,"SBKS, Vadadora",MBBS,JAIN MIN,Open,2275000,1340,0,0,Info not available
3,683018,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,683088,Gujarat,"KM Shah Dental Coll, Vadadora",BDS,JAIN MIN,Open,250000,1500,0,0,Info not available
3,683300,Karnataka,"Sri Siddhartha DentColl,Tumkur",BDS,DEEMED PS,Open,311000,Info Not Available,Info Not Available,Info not available,Info not available
3,683388,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,683402,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,683458,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,683475,Tamil Nadu,"Sathyabhama DentalColl,Chennai",BDS,DEEMED PS,Open,400000,100,0,0,Info not available
3,683476,Haryana,"MM Coll Dental, Mullana,Ambala",BDS,DEEMED PS,Open,318300,350,0,0,3000
3,683595,Gujarat,"KM Shah Dental Coll, Vadadora",BDS,DEEMED PS,Open,375000,1500,0,0,Info not available
3,683660,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,683753,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,683789,Maharashtra,"MGM Med Coll, Navi Mumbai",MBBS,DEEMED NRI,Open,5160000,1740,0,0,10000
3,683802,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,683813,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,683824,Tamil Nadu,"Meenakshi Ammal Dental,Chennai",BDS,DEEMED PS,Open,550000,Info Not Available,0,0,Info not available
3,683942,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,684026,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,684090,Tamil Nadu,"VinayakaMissionsDentColl,Salem",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,684165,Tamil Nadu,"Meenakshi Ammal Dental,Chennai",BDS,DEEMED PS,Open,550000,Info Not Available,0,0,Info not available
3,684233,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
