Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,EWS Open,West Bengal,Calcutta National Med Coll,TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,-,-,-,-,-,-,515(1),500(1),437(1),-,-
WB Govt Quota,SC Open,West Bengal,"Inst of Child Health, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,510(1),499(1),630(1),630(1),-,-,460(1),523(1),438(1),-,-
WB Govt Quota,OBC B Open,West Bengal,"VIMS, Kolkata",RADIO DIAGNOSIS,"₹18,000*","₹49,884*",0,₹0,Info Not Available,-,-,-,-,-,-,235(1),440(1),440(1),-,-
WB Govt Quota,UR Open,West Bengal,"VIMS, Kolkata",PAEDIATRICS,"₹18,000*","₹49,884*",0,₹0,Info Not Available,174(2),162(2),220(2),220(2),-,-,-,-,446(1),-,-
WB Govt Quota,SC Open,West Bengal,Bankura Sammilani Med Coll,DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1441,-,-,-,-,-,-,508(1),542(1),453(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,137(1),165(1),215(1),215(1),-,-,185(1),177(1),457(2),-,-
WB Govt Quota,UR Open,West Bengal,Burdwan Medical College,TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,-,-,-,-,-,-,234(1),238(1),464(1),32(1),-
WB Govt Quota,UR Open,West Bengal,Burdwan Medical College,GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,162(3),158(3),334(3),334(3),-,-,244(2),272(2),468(2),-,-
WB Govt Quota,UR Open,West Bengal,"VIMS, Kolkata",OBG,"₹18,000*","₹49,884*",0,₹0,Info Not Available,246(2),232(2),316(2),316(2),-,-,298(2),380(2),479(2),-,-
WB Govt Quota,SC Open,West Bengal,"College of Med & SDH, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",500,-,-,-,-,-,-,521(1),594(1),501(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"IPGMER, Kolkata",ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,325(1),308(1),504(1),-,-
WB Govt Quota,OBC Open,West Bengal,"ESI, Joka, Kolkata",GENERAL SURGERY,"₹2,50,000*","₹1,00,980*",2*,"₹10,00,000*",470,-,-,-,-,-,-,632(1),616(1),521(1),-,-
WB Govt Quota,UR Open,West Bengal,Burdwan Medical College,PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,151(1),139(1),154(1),154(1),-,-,-,-,522(1),30(1),-
WB Govt Quota,UR Open,West Bengal,Bankura Sammilani Med Coll,GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1441,184(3),264(3),406(3),406(3),-,-,287(2),289(2),525(2),-,-
WB Govt Quota,UR Open,West Bengal,Midnapore Medical College,PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,178(1),166(1),134(1),134(1),-,-,167(1),195(1),528(1),-,-
WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",PAEDIATRICS,"₹40,00,000*","₹40,000",0,₹0,Info Not Available,698(1),597(1),540(1),213(1),-,-,194(2),497(2),532(2),194(2),459(2)
WB Govt Quota,UR Open,West Bengal,Bankura Sammilani Med Coll,PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1441,-,-,186(1),186(1),-,-,162(1),204(1),537(1),-,-
WB Govt Quota,UR Open,West Bengal,"VIMS, Kolkata",ORTHOPAEDICS,"₹18,000*","₹49,884*",0,₹0,Info Not Available,-,-,-,-,-,-,215(1),261(1),538(1),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",GERIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,-,-,-,-,-,-,303(1),448(1),541(1),-,-
WB Govt Quota,OBC B Open,West Bengal,"IPGMER, Kolkata",TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,-,-,544(1),-,-
WB Govt Quota,EWS Open,West Bengal,Burdwan Medical College,PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,212(1),239(1),496(1),496(1),-,-,331(1),648(1),550(1),-,-
WB Govt Quota,UR Open,West Bengal,"NBMC, Darjeeling",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,-,-,-,-,217(1),217(1),551(1),33(1),-
WB Govt Quota,UR Open,West Bengal,"Shri Ramkrishna IMS, Durgapur",RADIO DIAGNOSIS,"₹16,80,000*","₹60,000",0,₹0,-,-,-,-,-,-,-,296(1),498(1),557(1),-,-
