Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,170(1),170(1),253(1),350(1),-,140(1),-,-,177(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,80(1),-,106(1),235(2),-,104(2),-,120(2),178(2),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,71(3),69(1),86(3),86(3),-,127(4),60(1),75(1),179(4),-,-
Odisha-Govt Quota-InS,ST,Odisha,"VIMSAR, Burla",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,208(1),-,-,225(1),-,177(1),-,-,181(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,168(1),168(1),149(1),210(1),-,132(1),132(1),116(1),183(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",RADIO DIAGNOSIS,"₹7,15,000*","₹30,000*",0,₹0,767,121(1),121(1),199(1),199(1),-,120(1),120(1),78(1),184(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,-,-,-,187(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,184(1),-,-,188(1),-,-
Odisha-Govt Quota,UR-GC,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,106(1),-,-,190(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",ORTHOPAEDICS,"₹25,00,000*",Info not available*,0,₹0,420,-,-,-,-,-,187(1),-,-,192(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,188(1),-,-,193(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,125(1),-,-,125(1),-,191(1),-,-,197(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PAEDIATRICS,"₹25,00,000*","₹30,000*",0,₹0,767,200(2),200(2),244(2),262(2),244(1),192(1),-,-,198(1),-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,200(1),-,-,200(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,217(1),217(1),217(1),201(1),-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,74(1),-,147(1),118(1),-,145(1),-,-,202(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,195(1),-,-,202(1),-,-
