Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,BCB-FEM,Telangana,"Osmania Med Coll, Hyderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",4800,512(1),512(1),736(1),736(1),736(1),736(1),250(1),250(1),250(1),250(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Prathima IMS, Karimnagar",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,469(1),469(1),469(1),469(1),469(1),469(1),252(1),252(1),252(1),252(1),-,-,-
Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,"DCMS, Hyderabad",RADIO DIAGNOSIS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,808(1),808(1),830(1),830(1),830(1),830(1),253(1),253(1),253(1),253(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,454(1),637(1),637(1),637(1),637(1),637(1),94(1),94(1),254(1),304(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,257(1),257(1),257(1),257(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"SVS Med Coll, Mehboobnagar",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,258(1),258(1),258(1),258(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kakatiya Med Coll, Warangal",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,252(1),389(1),389(1),389(1),389(1),389(1),144(1),144(1),259(1),259(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Nizamabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,147(1),147(1),260(1),260(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",4800,371(3),588(3),588(3),588(3),588(3),588(3),204(4),204(4),263(4),263(4),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Bhaskar Med Coll, Yenkapally",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,471(1),471(1),471(1),471(1),471(1),471(1),326(1),344(1),266(1),266(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIO DIAGNOSIS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,254(1),268(1),268(1),268(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,271(1),271(1),271(1),271(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,272(1),272(1),272(1),272(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mediciti IMS, Ghanpur",DERMATOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,273(1),273(1),273(1),273(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Govt Med Coll, Mahabubnagar",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",900,-,-,-,-,-,-,218(1),218(1),276(1),301(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Prathima IMS, Karimnagar",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,279(1),279(1),279(1),279(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Prathima IMS, Karimnagar",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,534(1),610(2),611(2),611(2),611(2),611(2),280(1),280(1),280(1),280(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Govt Med Coll, Siddipet",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,-,277(1),282(1),282(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kakatiya Med Coll, Warangal",DMRD,"₹25,000*","₹58,289",1,"₹10,00,000",1150,-,-,-,-,-,-,283(1),283(1),283(1),283(1),-,-,-
