Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",ENT,"₹22,50,000*","₹59,065",1,"₹10,00,000",750,196(1),627(1),216(1),-,-,532(2),887(2),938(2),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,96(1),317(1),-,-,-,538(1),538(1),978(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,538(2),-,-,953(1),953(1),990(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,"₹31,00,000*","₹59,065",1,"₹10,00,000",750,184(1),168(1),206(2),-,-,650(2),650(2),995(2),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",ANAESTHESIOLOGY,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,422(4),429(2),-,-,-,672(6),1013(6),1007(4),1104(2),-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,"₹28,50,000*","₹59,065",1,"₹10,00,000",750,236(1),434(1),-,-,-,588(1),974(1),1013(1),-,-
UK DNB Serv,UR-OPEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DCH(NBEMS),"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,172(1),153(1),30(1),22(1),-,472(2),633(1),1015(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,-,-,-,991(1),991(1),1032(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"HIMS, Dehradun",ENT,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,-,-,-,-,-,816(1),994(1),1035(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",SPM,"₹1,00,000*","₹76,600*",0*,₹0*,Info Not Available,273(1),-,263(1),131(1),-,-,-,1048(1),-,-
UK Priv-NRI,UR-NRI,Uttarakhand,"SGRRI, Dehradun",TBRD,"₹45,93,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,1062(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"SGRRI, Dehradun",ENT,"₹22,50,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,869(1),1017(1),1063(1),-,-
UK DNB Serv,UR-OPEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DA(NBEMS),"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,284(2),418(2),201(2),-,-,551(2),976(1),1068(1),1121(1),-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,290(2),-,-,956(1),-,1110(2),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",ANAESTHESIOLOGY,"₹17,00,000*","₹59,065",1,"₹10,00,000",750,502(4),666(4),237(2),-,-,767(10),1091(9),1130(1),1040(1),-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",OBG,"₹31,50,000*","₹59,065",1,"₹10,00,000",750,-,-,596(2),-,-,-,-,1147(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",FORENSIC MEDICINE,"₹1,00,000*","₹71,257*",0*,₹0*,436,160(1),-,324(1),229(1),36(1),282(1),-,1157(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",PSYCHIATRY,"₹26,75,000*","₹59,065",1,"₹10,00,000",750,398(2),455(2),-,-,-,603(2),651(2),1158(2),1272(2),-
UK Priv-Govt Quota,SC-OPEN,Uttarakhand,"HIMS, Dehradun",GENERAL MEDICINE,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,553(1),-,-,-,-,-,-,1184(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",PHYSIOLOGY,"₹1,00,000*","₹71,257*",0*,₹0*,436,-,-,595(1),288(1),-,1125(1),1125(1),1197(1),-,1436(1)
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",ENT,"₹22,50,000*","₹59,065",1,"₹10,00,000",750,155(1),139(1),113(2),-,-,624(1),-,1200(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",PATHOLOGY,"₹12,50,000*","₹59,065",1,"₹10,00,000",750,730(1),-,453(4),-,-,972(3),1082(1),1212(1),1154(1),-
UK Priv-NRI,UR-NRI,Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,"₹47,60,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,1215(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",ANAESTHESIOLOGY,"₹17,00,000*","₹59,065",1,"₹10,00,000",750,-,-,323(1),-,-,-,-,1216(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",OPHTHALMOLOGY,"₹26,75,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,1226(3),-,-
UK DNB Serv,OBC-OPEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DA(NBEMS),"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,530(1),649(1),227(1),-,-,-,-,1246(2),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",BIOCHEMISTRY,₹0*,"₹40,000",0,₹0,1200,-,-,393(1),-,-,964(1),-,1247(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,1284(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",GENERAL SURGERY,"₹25,75,000*","₹59,065",1,"₹10,00,000",750,363(2),343(2),177(3),-,-,581(4),709(3),1295(3),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",SPM,"₹1,00,000*","₹76,600*",0*,₹0*,Info Not Available,-,-,-,-,-,864(1),-,1309(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",FORENSIC MEDICINE,"₹1,00,000*","₹76,600*",0*,₹0*,Info Not Available,-,-,489(1),-,-,-,-,1311(1),-,-
UK Priv-Govt Quota,OBC-OPEN,Uttarakhand,"SGRRI, Dehradun",ENT,"₹22,50,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,1313(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"HIMS, Dehradun",OPHTHALMOLOGY,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,712(1),-,361(1),-,-,1114(1),-,1315(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",SPM,₹0*,"₹40,000",0,₹0,1200,-,-,-,-,-,986(1),986(1),1319(2),-,-
UK Priv-Govt Quota,SC-OPEN,Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,-,-,463(1),-,-,-,-,1321(1),-,-
UK Priv-Govt Quota,SC-WOMEN,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,-,-,-,-,-,1326(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",OPHTHALMOLOGY,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,312(1),678(1),245(2),93(1),-,-,-,1334(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",PATHOLOGY,"₹12,50,000*","₹40,000",0,₹0,1200,664(4),-,370(4),-,-,887(4),1107(2),1339(4),1205(1),-
