Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-DNB InS,UR Service,Uttar Pradesh,"Government Med Coll, Badaun",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,234,30(1),31(1),-,-,-,-,-,120(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"RajaPratapBahadurHosp,Pratapgar",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,336,51(1),52(1),-,-,-,-,-,121(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"S N Med Coll, Agra",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,119(4),120(4),-,-,-,92(5),119(5),121(5),389(1),-
UP-DNB InS,SC Service,Uttar Pradesh,"DistrictCombHos,Sec23,Ghaziabad",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,68(1),126(1),122(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"LalBahadurShastri Hosp,Varanasi",DTBCD(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,114(1),114(1),123(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Autonomous State MC, Hardoi",DNBGENERAL SURGERY,"₹1,25,000","₹80,000*",0*,₹0*,332,-,-,-,-,-,117(1),117(1),126(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"MaharanaPratapDistHos,Bareilly",DLO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,325,78(1),-,-,-,-,110(1),-,128(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Rana Beni MS DistHosp,Raebareli",DNBENT,"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,83(1),110(1),130(1),-,-
UP-Govt Quota,EW,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,39(1),40(1),-,-,-,108(2),108(2),133(2),-,-
UP-Govt Quota,UR,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,"₹61,600*","₹1,11,780",2*,"₹40,00,000*",1609,139(2),252(2),-,-,-,118(1),132(1),134(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"LLRM Med Coll, Meerut",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1090,-,-,-,-,-,103(1),139(1),141(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DTBCD(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,656,-,-,-,-,-,127(1),127(1),142(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"Rana Beni MS DistHosp,Raebareli",DCH(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,113(1),113(1),144(1),186(1),-
UP-Govt Quota,SC,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹37,500*","₹1,08,672",2*,"₹40,00,000*",Info Not Available,290(1),295(1),-,-,-,83(1),143(1),145(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Ayodhya",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,300,-,-,-,-,-,-,-,146(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"DistrictCombHosp,Vrindavan,UP",DGO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,130(1),130(1),147(1),-,-
UP-Govt Quota,EW,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",500,-,-,-,-,-,148(1),148(1),150(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Hardoi",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,332,-,-,-,-,-,-,-,150(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"UrsalaHorsmanMemHosp, Kanpur",DO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,550,-,-,-,-,-,134(1),134(1),152(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"MaharanaPratapDistHos,Bareilly",DO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,325,46(1),-,-,-,-,119(1),119(1),153(1),193(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"Divisional Dist Hosp, Azamgarh",DO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,312,-,-,-,-,-,-,135(1),154(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",2083,114(3),134(3),9(1),10(1),-,102(3),147(3),159(3),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Government Med Coll, Badaun",DGO(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,234,-,-,-,-,-,-,-,159(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"Govt IMS, Kasna",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",500,-,-,-,-,-,84(1),158(1),160(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Government Med Col, Azamgarh,UP",DA(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,550,82(1),83(1),-,-,-,-,-,165(1),131(1),218(1)
UP-DNB InS,BC Service,Uttar Pradesh,"LalBahadurShastri Hosp,Varanasi",DO(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,142(1),-,167(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"BRD Med Coll, Gorakhpur",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1050,149(3),150(3),-,-,-,133(3),138(3),169(3),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"SwamiKalyanDistHos,Muzaffrnagar",DLO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,135(1),-,172(1),-,-
UP-Govt Quota,EW,Uttar Pradesh,"BRD Med Coll, Gorakhpur",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1050,185(1),238(1),-,-,-,170(1),301(1),172(1),1101(1),-
UP-Govt Quota,UR,Uttar Pradesh,"KGMU, Lucknow",PAEDIATRICS,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,81(5),119(5),-,-,-,67(4),130(4),177(4),-,-
